202	CT	N[C@@H](CC1=CSC2=C1C=CC=C2)C(=O)O
203	CU	CC1=CC=C(C[C@H](N)C(=O)O)C=C1
204	CV	CC1=CC=C(C[C@H](N)C(=O)O)C=C1I
205	CW	N[C@@H](CC1=CC=C(O)C(Cl)=C1)C(=O)O
206	CX	N[C@@H](CC1=CC=C(O)C(Br)=C1)C(=O)O
207	CY	NC(CCC1=CC=C(O)C([N+](=O)[O-])=C1)C(=O)O
208	CZ	N[C@@H](CC1=CC=C(Cl)C=C1Cl)C(=O)O
209	DA	CC1=NN=C(C2=CC=CC(CC(N)C(=O)O)=C2)N=N1
210	DB	CCC1=NN=C(C2=CC=CC(CC(N)C(=O)O)=C2)N=N1
211	DC	CC(C)C1=NN=C(C2=CC=CC(CC(N)C(=O)O)=C2)N=N1
212	DD	CCCCC1=NN=C(C2=CC=CC(CC(N)C(=O)O)=C2)N=N1
213	DE	N[C@@H](CSCC1=C([N+](=O)[O-])C=CC=C1)C(=O)O
214	DF	C[C@@H](SC[C@H](N)C(=O)O)C1=CC2=C(C=C1[N+](=O)[O-])OCO2
215	DG	C[C@@H](OC(=O)NCSC[C@H](N)C(=O)O)C1=CC2=C(C=C1[N+](=O)[O-])OCO2
216	DH	C=CC[Se]C[C@H](N)C(=O)O
217	DI	C=CCSC[C@H](N)C(=O)O
218	DJ	CC(=O)NCSC[C@H](N)C(=O)O
219	DK	N[C@@H](CC(=O)SCCNC(=O)OC1CCCC1)C(=O)O
220	DL	CN1C=NC=C1C[C@H](N)C(=O)O
221	DM	N[C@@H](CC1=CC=CO1)C(=O)O
222	DN	N[C@@H](CC1=CC=CS1)C(=O)O
223	DO	N[C@@H](CC1=CC=C(Br)S1)C(=O)O
